symbol,strike,iv,last_price,expiry,type,underlying_price,moneyyyyy,expiry_dt,T,d2,exercise_prob
AAPL US 02/20/26 P262.5 Equity,262.5,0.5253559,0.03,2/20/2026,Put,263.8,OTM,2026-02-20,0.0,,
AAPL US 02/20/26 P265 Equity,265.0,0.39071890000000004,0.83,2/20/2026,Put,263.8,ITM,2026-02-20,0.0,,
AAPL US 02/20/26 P267.5 Equity,267.5,0.8698629,2.84,2/20/2026,Put,263.81,ITM,2026-02-20,0.0,,
AAPL US 02/20/26 P272.5 Equity,272.5,2.295604,8.1,2/20/2026,Put,263.81,ITM,2026-02-20,0.0,,
AAPL US 02/20/26 P277.5 Equity,277.5,2.953272,13.25,2/20/2026,Put,263.81,ITM,2026-02-20,0.0,,
AAPL US 02/20/26 P280 Equity,280.0,3.575818,15.75,2/20/2026,Put,263.8,ITM,2026-02-20,0.0,,
AAPL US 02/20/26 P282.5 Equity,282.5,4.320924,16.91,2/20/2026,Put,263.81,ITM,2026-02-20,0.0,,
AAPL US 02/20/26 P287.5 Equity,287.5,4.5709859999999995,24.8,2/20/2026,Put,263.8,ITM,2026-02-20,0.0,,
AAPL US 02/20/26 P290 Equity,290.0,5.493879,28.58,2/20/2026,Put,263.8,ITM,2026-02-20,0.0,,
AAPL US 02/20/26 P295 Equity,295.0,5.533060000000001,34.55,2/20/2026,Put,263.81,ITM,2026-02-20,0.0,,
AAPL US 02/20/26 P297.5 Equity,297.5,4.99976,21.1,2/20/2026,Put,263.8,ITM,2026-02-20,0.0,,
AAPL US 02/20/26 P300 Equity,300.0,6.785159999999999,35.58,2/20/2026,Put,263.81,ITM,2026-02-20,0.0,,
AAPL US 02/20/26 P302.5 Equity,302.5,6.515458,39.0,2/20/2026,Put,263.8,ITM,2026-02-20,0.0,,
AAPL US 02/20/26 P305 Equity,305.0,4.101571,40.8,2/20/2026,Put,263.81,ITM,2026-02-20,0.0,,
AAPL US 02/20/26 P310 Equity,310.0,9.090283,53.85,2/20/2026,Put,263.81,ITM,2026-02-20,0.0,,
AAPL US 02/20/26 P315 Equity,315.0,4.641706,57.7,2/20/2026,Put,263.81,ITM,2026-02-20,0.0,,
AAPL US 02/20/26 P330 Equity,330.0,12.35783,68.85,2/20/2026,Put,263.8,ITM,2026-02-20,0.0,,
AAPL US 02/20/26 P335 Equity,335.0,9.954709000000001,80.72,2/20/2026,Put,263.8,ITM,2026-02-20,0.0,,
AAPL US 02/20/26 P350 Equity,350.0,14.476949999999999,103.8,2/20/2026,Put,263.8181,ITM,2026-02-20,0.0,,
AAPL US 03/20/26 C90 Equity,90.0,1.4279650000000002,172.28,3/20/2026,Call,263.81,ITM,2026-03-20,0.07665982203969883,2.528180013759467,0.9942672225944541
AAPL US 03/20/26 C95 Equity,95.0,1.406736,165.52,3/20/2026,Call,263.8181,ITM,2026-03-20,0.07665982203969883,2.4335182784058045,0.9925235597809432
AAPL US 03/20/26 C100 Equity,100.0,1.369904,164.7,3/20/2026,Call,263.8,ITM,2026-03-20,0.07665982203969883,2.373867062974167,0.9911985565774918
AAPL US 03/20/26 C105 Equity,105.0,1.330007,143.15,3/20/2026,Call,263.81,ITM,2026-03-20,0.07665982203969883,2.323898991839588,0.9899345458410911
AAPL US 03/20/26 C110 Equity,110.0,1.317126,154.77,3/20/2026,Call,263.8181,ITM,2026-03-20,0.07665982203969883,2.222729769768853,0.9868829863786618
AAPL US 03/20/26 C115 Equity,115.0,1.219346,143.83,3/20/2026,Call,263.81,ITM,2026-03-20,0.07665982203969883,2.2973716813416605,0.9892012120908813
